,order,question_raw,question_theme,question_coded,response,question_text,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type,year
24,3,Q8978200,Demographics,sexuality,Questioning,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Questioning,NA,0,Simple,2024
25,3,Q8978200,Demographics,sexuality,Unsure,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,FALSE,Sexual orientation,NA,NA,0,Simple,2024
26,3,Q8978200,Demographics,sexuality,Other,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Other sexual orientation,NA,0,Simple,2024
27,4,Q8978201,Demographics,ethnicity,Any other ethnic group,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Any other ethnic group,NA,0,Simple,2024
28,4,Q8978201,Demographics,ethnicity,Asian,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Asian,NA,0,Simple,2024
29,4,Q8978201,Demographics,ethnicity,Black,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Black,NA,0,Simple,2024
30,4,Q8978201,Demographics,ethnicity,Chinese,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Chinese,NA,0,Simple,2024
31,4,Q8978201,Demographics,ethnicity,Mixed,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Mixed,NA,0,Simple,2024
32,4,Q8978201,Demographics,ethnicity,Prefer not to say,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
33,4,Q8978201,Demographics,ethnicity,White,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,White,NA,0,Simple,2024
34,4,Q8978201,Demographics,ethnicity,Any other ethnic group,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Any other ethnic group,NA,0,Simple,2024
35,4,Q8978201,Demographics,ethnicity,Asian - Indian,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Indian,NA,0,Simple,2024
36,4,Q8978201,Demographics,ethnicity,Black - African,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Black African,NA,0,Simple,2024
37,4,Q8978201,Demographics,ethnicity,Asian - Chinese,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Chinese,NA,0,Simple,2024
38,4,Q8978201,Demographics,ethnicity,Mixed - White and Asian,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
39,4,Q8978201,Demographics,ethnicity,Prefer not to say,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
40,4,Q8978201,Demographics,ethnicity,White - British,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
41,4,Q8978201,Demographics,ethnicity,White - Irish,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
42,4,Q8978201,Demographics,ethnicity,White - Any other White background,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
43,4,Q8978201,Demographics,ethnicity,Asian - Pakistani,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Pakistani,NA,0,Simple,2024
44,4,Q8978201,Demographics,ethnicity,Asian - Any other Asian background,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Asian (other),NA,0,Simple,2024
45,4,Q8978201,Demographics,ethnicity,Asian - Bangladeshi,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Bangladeshi,NA,0,Simple,2024
46,4,Q8978201,Demographics,ethnicity,Black - Caribbean,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Black Caribbean,NA,0,Simple,2024
47,4,Q8978201,Demographics,ethnicity,Black - Any other Black/African/Caribbean background,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Black (other),NA,0,Simple,2024
48,4,Q8978201,Demographics,ethnicity,Mixed - White and Black African,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
49,4,Q8978201,Demographics,ethnicity,Mixed - White and Black Caribbean,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
50,4,Q8978201,Demographics,ethnicity,Mixed - Any other Mixed background,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,FALSE,Ethnicity,NA,NA,0,Simple,2024
51,4,Q8978201,Demographics,ethnicity,White - Gypsy or Irish Traveller,ethnicity,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,NA,FALSE,FALSE,ethnicity,What is your ethnic group?,TRUE,Ethnicity,Traveller,NA,0,Simple,2024
52,5,Q8978202,Demographics,religion,Any other religion,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Any other religion,NA,0,Simple,2024
53,5,Q8978202,Demographics,religion,Any other religion,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Any other religion,NA,0,Simple,2024
54,5,Q8978202,Demographics,religion,Buddhist,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Buddhist,NA,0,Simple,2024
55,5,Q8978202,Demographics,religion,Hindu,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Hindu,NA,0,Simple,2024
56,5,Q8978202,Demographics,religion,Jewish,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Jewish,NA,0,Simple,2024
57,5,Q8978202,Demographics,religion,Muslim,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Muslim,NA,0,Simple,2024
58,5,Q8978202,Demographics,religion,Christian,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Christian,NA,0,Simple,2024
59,5,Q8978202,Demographics,religion,Prefer not to say,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,FALSE,Religion,NA,NA,0,Simple,2024
60,5,Q8978202,Demographics,religion,No religion,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,No religion,NA,0,Simple,2024
61,5,Q8978202,Demographics,religion,Sikh,religion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,NA,FALSE,FALSE,religion,What is your religion?,TRUE,Religion,Sikh,NA,0,Simple,2024
62,6,Q8978205,Demographics,schyear,Not at school/other,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
63,6,Q8978205,Demographics,schyear,Year 7,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
64,6,Q8978205,Demographics,schyear,Year 8,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
65,6,Q8978205,Demographics,schyear,Year 9,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
66,6,Q8978205,Demographics,schyear,Year 10,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
67,6,Q8978205,Demographics,schyear,Year 11,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
68,6,Q8978205,Demographics,schyear,Year 12,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
69,6,Q8978205,Demographics,schyear,Year 13,school year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which school year are you in?,NA,FALSE,FALSE,schyear,Which school year are you in?,FALSE,School year,NA,NA,0,Simple,2024
70,7,Q10160220,Living Conditions,condition_physical,No,physical condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a long-term physical condition?,Physical condition,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
71,7,Q10160220,Living Conditions,condition_physical,Yes,physical condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a long-term physical condition?,Physical condition,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,Physical condition,NA,0,Multiple Select,2024
72,7.2,Q10160220.2,Living Conditions,condition_mental,Yes,diagnosed mental health condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a diagnosed mental health condition?,Diagnosed mental health condition,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,Mental health condition,NA,0,Multiple Select,2024
73,7.2,Q10160220.2,Living Conditions,condition_mental,No,diagnosed mental health condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a diagnosed mental health condition?,Diagnosed mental health condition,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
74,7.3,Q10160220.3,Living Conditions,condition_disability,No,physical disability,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a physical disability?,Physical disability,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
75,7.3,Q10160220.3,Living Conditions,condition_disability,Yes,physical disability,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s).,Do you have a physical disability?,Physical disability,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,Physical disability,NA,0,Multiple Select,2024
76,7.4,Q10160220.4,Living Conditions,condition_send,No,special education need(s) or learning difficulty,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have any special education need(s) or learning difficulties?,Special education need(s) or learning difficulty,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
77,7.4,Q10160220.4,Living Conditions,condition_send,Yes,special education need(s) or learning difficulty,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have any special education need(s) or learning difficulties?,Special education need(s) or learning difficulty,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,Special education needs/learning difficulty,NA,0,Multiple Select,2024
78,7.5,Q10160220.5,Living Conditions,condition_autism,No,autism,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have autism?,Autism,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
79,7.5,Q10160220.5,Living Conditions,condition_autism,Yes,autism,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have autism?,Autism,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,Autism,NA,0,Multiple Select,2024
80,7.6,Q10160220.6,Living Conditions,condition_adhd,No,ADHD,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have ADHD?,ADHD,FALSE,TRUE,condition,Do you have any long-term conditions?,FALSE,Long-term conditions,NA,NA,0,Multiple Select,2024
81,7.6,Q10160220.6,Living Conditions,condition_adhd,Yes,ADHD,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s).,Do you have ADHD?,ADHD,FALSE,TRUE,condition,Do you have any long-term conditions?,TRUE,Long-term conditions,ADHD,NA,0,Multiple Select,2024
82,8,Q8978207,Living Conditions,caring,No,"help to look after a family member with a serious, mental or physical, illness or disability",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s (%s).,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",NA,FALSE,FALSE,caring,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",FALSE,Cares for someone (young carer),NA,NA,0,Simple,2024
83,8,Q8978207,Living Conditions,caring,Prefer not to say,"help to look after a family member with a serious, mental or physical, illness or disability",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s (%s).,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",NA,FALSE,FALSE,caring,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",FALSE,Cares for someone (young carer),NA,NA,0,Simple,2024
84,8,Q8978207,Living Conditions,caring,Yes,"help to look after a family member with a serious, mental or physical, illness or disability",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s (%s).,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",NA,FALSE,FALSE,caring,"Do you help to look after someone in your family who has a serious, mental or physical, illness or disability?",TRUE,Cares for someone (young carer),Young carer for a family member,NA,0,Simple,2024
85,9,Q14867041,Living Conditions,cla,Yes,child looked after (lived with foster carers/care home),The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have had <b>%s</b> was %s %s students (%s).,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,NA,FALSE,FALSE,cla,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,TRUE,Child looked after,Child looked after,NA,0,Simple,2024
86,9,Q14867041,Living Conditions,cla,No,child looked after (lived with foster carers/care home),The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have had <b>%s</b> was %s %s students (%s).,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,NA,FALSE,FALSE,cla,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,FALSE,Child looked after,NA,NA,0,Simple,2024
87,9,Q14867041,Living Conditions,cla,Prefer not to say,child looked after (lived with foster carers/care home),The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have had <b>%s</b> was %s %s students (%s).,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,NA,FALSE,FALSE,cla,Are you currently or have you ever been adopted or a child looked after (e.g. lived with foster carers/lived in a children’s home)?,FALSE,Child looked after,NA,NA,0,Simple,2024
88,10,Q20583782,Living Conditions,findiff_job,No,lost a job/work,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Experienced job/work loss,lost a job/work,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",FALSE,Financial difficulties,NA,NA,0,Multiple Select,2024
89,10,Q20583782,Living Conditions,findiff_job,Yes,lost a job/work,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Experienced job/work loss,lost a job/work,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",TRUE,Financial difficulties,Financial difficulties: Job/work loss,NA,0,Multiple Select,2024
90,10.2,Q20583782.2,Living Conditions,findiff_hungry,No,felt hungry,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Felt hungry,felt hungry,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",FALSE,Financial difficulties,NA,NA,0,Multiple Select,2024
91,10.2,Q20583782.2,Living Conditions,findiff_hungry,Yes,felt hungry,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Felt hungry,felt hungry,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",TRUE,Financial difficulties,Financial difficulties: felt hungry,NA,0,Multiple Select,2024
92,10.3,Q20583782.3,Living Conditions,findiff_foodbank,No,went to a food bank,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Went to a food bank,went to a food bank,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",FALSE,Financial difficulties,NA,NA,0,Multiple Select,2024
93,10.3,Q20583782.3,Living Conditions,findiff_foodbank,Yes,went to a food bank,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Went to a food bank,went to a food bank,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",TRUE,Financial difficulties,Financial difficulties: felt hungry,NA,0,Multiple Select,2024
94,10.4,Q20583782.4,Living Conditions,findiff_cold,No,felt cold,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their household had <b>%s</b> due to financial difficulties was %s %s students (%s).,Felt cold,felt cold,FALSE,TRUE,findiff,"In the past year, has your household (including you and your parents/guardians) experienced any of the following due to financial difficulties?",FALSE,Financial difficulties,NA,NA,0,Multiple Select,2024
